Yorum_Icerik,Yildiz
"İlk olarak bilgisayar freedos geliyor yani içi boş şekilde, windows kurmanız gerekiyor biz bu kurulum için 2 hafta falan bilgisayarcı gezdik bunu göz önünde bulundurarak alın.Oyun için güzel bilgisayar, bu modelin parçaları dört dörtlük denilebilir, her oyunu oynatır.(Malzeme kalitesi olarak orta halli plastik, kasa parmak izi topluyor).fakat şarjı çok hızlı bitiyor ve bilgisayar hemen ısınıyor tamam gta 5, pubg gibi güç isteyen bi oyun olsa ısınsın ama minecraft oynuyorum arkadaş ya, ekran kartı 80 85 derecelere çıkıyor çok saçma bi şekilde. Genelde masaüstü gibi fişte takılı bakıyoruz. oyun oynarsan max 1 saat gidiyor oynamazsan 2 saat alayım da gezdireyim ofise okula götürüp bakarım diyenlere tavsiye etmem başka model bakınız..",5
"Ürün güzel iki tane eksigi var bence 
1) ekran arka plastiginde parmak iz lekesi kalıyor
2) şarjı basit internet sörf veya word/excel de bile çabuk bitiyor",5
Kasası biraz çabuk kirelenebiliyor. Onun dışında güzel bilgisayar. Tavsiye ederimz,5
çok güzel ama bu fiyata 4090 li pc de geliyo ben aldiyima pişanim o yüzden victus,5
Herşeyi iyi sadece şarjı çabuk bitiyor mecbur hep şarjda tutacaz telefonu,5
İçinde işletim sistemi yok. Kurmak için 40 kapıya gittik.,5
Ürün güzel ama çok parmak izi bırakıyor.,5
"Cihaz performans olarak gayet iyi, çalıştırmadığı oyun olmadı. Fakat fanı aşırı derecede gürültülü, hoparlörden çıkan sesi net duymak için nerdeyse son seviye açmak gerekiyor, ayrıca fan çıkışları çok saçma konumlandırılmış, sürekli mouse yi tuttuğunuz elinize sıcak bir hava geliyor gerçekten rahatsız edici bir durum.",5
Ürünü 7 temmuzda 24 bin liraya aldım memnunum iyikide almışım fiyatlar uçuyor bence kacırmayın 1 ay sonra 40 bin olur fiyatı,5
Oyundaki performansı gayet iyi ancak daha alalı 2 hafta oldu ısınma problemi yaşıyorum. Yüksek fpsli bir oyuna girince 20dk dayanmıyor adaptör ve bilgisayar okadar ısınıyor ki oyundan çıkmak zorunda kalıyorum ve oyuna girince çok ses çıkarıyor.,5
Bilgisayar genel olarak çok iyi Ama Hoparlörden kendiliğine tık tık diye ses geliyor arada. Müşteri hizmetleride bobin sarımı dedi ama ne alaka,5
Ürün bana sorunlu geldi fanları yeteri kadar soğutmuyordu memnun kalmadım geri iade yaptım bilmiyorum ama belki bana kötü ürün denk geldi ama şey konusunda iade konusunda hiç zorluk çıkarmadan geri iadem onaylandın gerek Monster servisçilerine gerek hepsiburada gayet memnundum ve dizayn ve paketlemede gayet iyi monster,5
"Aldığım ürün monster tarafından bayi ye sattığı fatura ile geldi faturadaki fiyat ile benim aldığım fiyat arasında 10.000 TL fark var böyle yüksek bir rakama aldığım için pişmanlık duyuyorum ve ürünü aldıktan sonra 6.000 TL fiyatının düştüğünü görmek de şaşırtıci böyle bir şekilde günlük fiyatlarin düşüp yükselmesi stabil olmamasi   Hepsiburada da ürüne bu kadar fark koyup satılması tamamen para tuzağı, performans olarak bilgisayar iyi duruyor ama fiyat açısından hiç kimseye önermiyorum, gidip direk monster firmasindan alirsaniz paranizda cebinizde kalir.",5
"Ürünü ilk baktığım tarih 08.07.2023 tarihininde 24 bin di, 13.08.2023 de 27 bin sipariş verdim ürün 15.08.2023 tarihinde elime ulaştığında 35 bin olmuştu, bu tarihler içinde fiyatı astronomik bir biçimde arttı şuanki fiyatı 30 bin ve daha üstünüde gördü bu süreç zarfında ne olduda fiyatlar bu kadar değişiklik gösterdi anlamış değilim dolar kuru 25 den 26 oldu fiyat politikanız kime ne tutturursam mantığı ile çalışıyor o yüzden vizyon eksiği var",5
Süper teşekkürler,5
Güzel kargolama için teşekkürler monster hızlı kargo için teşekkürler ✅ Keşke bu kadar fiyatı yüksek olan ürünleri alırken içerik olarak veya hediye olarak mouse ve mousepad ürünleri olsaydı monster firmasına arz ederim 🎯,5
Ürün sorunsuz bir şekilde ulaştı teşekkürler,5
İndirimde aldım ve ne kadar doğru bir karar verdiğimi şu an daha iyi anlıyorum. İlk defa monster kullanıyorum ve ilk defa oyun bilgisayarı kullanıyorum. Nedense farklı bir güven hissi veriyor. Bundan önce kullandığım bilgisayarın markası gayet güzel olmasına rağmen sanki sıradan binek araçtan inip Mercedes araca binmiş gini bir his veriyor. Alın aldırın yerli malı kazansın. Bu özelliklerde baksa markalarda 40 tan aşağı cihaz yok daha ne demek lazım ki.,5
"Kargolama sağlamdı, çanta güzel. Bilgisayar güzel. Beğenmediğim tek şey dış malzemesi plastik gibi bir yapısı var ne kadar sağlamdır bilmiyorum.",5
"Ürün sağlam bir şekilde teslim edildi, 
Windows kurulumu için youtube üzerinden kurulum videosu bulup kurabilirsiniz.",5
Kargo tarihinden önce geldiği için Monster ve hepsi burada ya teşekkürler,5
Ürünü çok hızlı teslim aldım ertesi gün kurulum sağlandı sorun yok bir sonraki gün bilgisayar açılmadı klavye ışıkları var ama ekran yok servise veridim inceleme sonrası değişim onaylandı perşembe den pazartesi ye hala bekliyorum yeni bilgisayarı keşke iade talep edip yenisini alsaydım daha hızlı çözülürdü sorunum sorun nereden kaynaklı bilmiyorum bilgisayarı değerlendiremedi. Maalesef teknik aksaklıklar giderilir elime yeni ürün gelince inşallah değerlendirmeye fırsatım olur bendeki bu şansa ne diyeyim,5
Teşekkür ederiz,5
"Süper pc, sıkıntısız, format at devam et",5
Adının hakkını veriyor canavar gibi,5
Arkadaslar sakin almayin ben aldim pismanim. Ozetleyecek olursak freedos olarak aldim ilk acilista bip bip sesleri oldu cok umursamadim sonra windows kurdum tekrar bip sesleri geldi sonrasinda kapandi bugun 3. Gun ve daha da kotulesti laptop aciliyor ve ardindan 1 2 dakika sonra kendiliginden kapaniyor alacak arkadaslara tavsiyem ALMAYİN. ben aldım uğraşıyorum siz uğraşmayın.,5
Ürün sarj problemi olarak geldi hepsiburada üzerinden sorunumu ilettim bana servisi aramam söylendi aradım 25 dk telefonda bekletip bekletip suratıma kapattıle telefonu ayrıca geri dönüş de yapılmadı 27.000liralık bir çöpüm oldu gerekli tüm merciilere şikayet edeceğim,5
Hiç menun değilim keşke başka marka alsaydım o kadar parayı böyle laptopa vermek boş kasa falan çok iz oluyor 3050 ti yerine 3060 başka bir laptop alsaydım keşke oyuncak gibi duruyor malzeme kalitsei iyi gelmedi özellik olarakta yanlış tercih yaptım,5
Cihazı aldıktan 2 ay sonra kendiliğinden ölü piksel çıktı. Garantisi olmasına rağmen servis ücret talep ediyor.,5
"alınmaz, mavi ekran sorunu mu dersin, ısınma sorunu mu dersin ne ararsan var",5
kronik PC almayın,5
"İade ettim, SSD görmüyor windows yükleyemedim",5
"F/p ürünü, çok gürültülü fan çalıştırıyor.",4
Ürün çok güzel kullanımı ağırlığı şıklığı alınabilir bir ürün”dü lakin bu ürün 1 haftada nasıl 30 bin seviyesine doğru yürüyor onu anlamış değilim..,3
Sarji çok kısa süre gidiyor. Hoparlöru de pek iyi değil. Onhn haricinde beğendim,3
"Sistemde siparis teslim gozukuyor fakat ortada 25 bin tl lik laptop yok.Musteri hizmetleri kapiya birakilmis diyor.Ya siz kime aordunuz kapiya birakalim mi diye,benim bir notum yok ki kapiya birakin diye.Boyle amator dagitim olur mu?kac senedir bu isleri yapiyorsunuz pes vallahi.Bu laptop 150 binlikte olabilirdi kapiya birakma nedir ya.Bunu 12 ay odeyecegiz daha.İlk defa hepsi buradan kullandim buda sondu aman herkes dikkat etsin.Ben monster ida anlamiyorum malini bu sitelerden satarak nasil markayi riske eder?",1
