Yorum_Icerik,Yildiz
cihazi 25.800e aldim performansi guzel isinma normal olarak var sogutucu gerekli kasa parmak izi tutuyor i̇nternet hiziniz iyiyse oyunlarda verim alirsiniz hediye cantasi yaninda geliyor paketleme gayet iyi,5
1 ay icinde 2 ayni bilgisayar alisimiz cok memnunuz fiyata gercekten islemcileri cok iyi sadece ekranin arkasindaki kasa plastik olsun,5
hafif guzel guclu plastik kalitesi iyi olabilirdi canta hediyesi cok iyi oldu,5
canavar bilgisayar iyi almisim 23 bin civarina almistim bir hafta olmadi fiyati ucmus,5
fiyata alabileceginiz iyi urun kesinlikle lol orta ayarlarda 300 fps aliyorum goruntu kalitesi muazzam tavsiye edilir,5
ben cok begendim eger yazilimci oyun oynamayi seviyorsaniz tam size gore,5
cok hizli geldi i̇yi kargolanmisti eksiksiz geldi hediyeler icin tesekkurler,5
uzun arastirmalar sonucunda karar monster oldu oldukca memnunuz tesekkurler monster,5
3 gun oldu hala kargoya verilmedi hazirlaniyor diyor delircem gelsin artik,5
oglum istedi aldim iyiki almisim memnun mutlu dolayisiyla bende ☺️ tavsiye ederim urunu,5
muekemmel ilgi bir satici zaten moonster kalitesi anlatmaya gerek yok,5
piyasanin iyi bilgisayari benim icin tesekkur ediyorum tum emegi gecenlere,5
urun ozellikleri performansi iyi cocuklar icin aldim cok begendiler satici ilgili tesekkur ediyorum,5
yazilim oyun ihtiyacimi fazlasiyla gorecek cantasi fazlasiyla kullanisli,5
freedos olarak geliyor bilgisayar tam bir canavar oyunu rahat calistirir dusunuyorum,5
tek kelimeyle offf diyorum makineyi kutusundan cikarmasi bile resmen sow gosterisi,5
kaliteli cihaz kendi sitesinden 2bin tl ucuza aldik tavsiye ederim,5
cok iyi bilgisayar bilgisayardan hizli ilgili satici firma 1 gunde elimize ulasti ogluma almistim cok mutlu,5
muthis bi makina 22800 iken siparis verdim simdi fiyatini hakeder,5
10 numara 5 yildiz,5
kalite anlatilmaz yasanir,5
fiyat performans olarak harika,5
kargo cok hizliydi siparisimden bir sonraki gun urun elime ulasti,5
fiyata suanda iyi laptop monster kalitesi,5
urun saglam teniz sekilde teslim edildi cok tesekkur ler,5
urun cok kaliteli paraniz varsa alin,5
monster ekibine cok tesekkur ederim kisa zamanda yolladilar,5
hizli geldi tesekkurler sorunsuz,5
cihaz ates ediyor,5
tek sorunu windows kurulu gelmiyor bunun disinda mukemmel,5
cok guzel tskler arada zam gelmis😀😀😀,5
kalitesi kutu iceriginden belli oluyor,5
ailece hepimizin kullandigi urun harika,5
on numara bes yildiz,5
fiyata alinabilecek iyi urun,5
alin,5
tesekkurler,5
urun harika,5
suanlik pc super birsey batarya alisma suresinde suan 1-1.5 saat gidiyor.zaten monsterlerde klasik olan isiniyor pc icine gta 5 ets 2 vs yukledim 144 hz alinca ekrani 90-110 fps veriyor.sik hafif bir laptop windows kurarken sorun cikmadi.yaninda sirt cantasi geldi guzel sirt cantasi prizden cikartinca fps dusuyor butun oyun bilgisayarlarinda oldugu markayi kotulemek degil sadece eksiklerini soyluyorum ayrica alicak arkadaslar windows kurarken ssd gormeyebiliyormus bende oyle sorun olmadi olursa nasil yapilacagi hakkinda monster in youtube kanalinda var ayrica intel in yazilimini kurup ssd yi bulabiliyorsunuz,5
"urun fiyat performans gayet guzel hepsiburada urunu aldiktan bir hafta sonra indirim yapti urune , hepsiburada alisveris yapmam artik gerekirse pahaliya baska yerden alcam",5
cok iyi bir bilgisayar sadece freedos olmasi biraz sikinti oldu keske sarjli halde 3 saat degil 4-5 saat calissa performansa cok iyi,5
urun gercekten cok guzel sadece bataryasi biraz hizli bitiyo cihazin kapaginda cok fazla parmak izi kaliyor genel olarak gercekten cok guzel bir cihaz,5
urun gayet yeterli ram ssd gayet yeterli dusuk ram ssd den uzak durmak lazim biraz fazla isiniyor oyun bilgisayari oldugu icin normal sogutucu kullanilabilir tek kotu sarji cok cabuk bitiyor,5
cok guzel kaliteli bir urun bataryasi iyi olabilirdi yine cok kullanisli,5
bence urun gayet guzel gta v kaldirir :,5
piyasa fiyatina gore baya uyguna aldim cok iyi hiz,5
urun cok iyi ben cok begendim oyunlarda baya akici kargoda hizli geldi paketlemede hicbir sikinti yoktu sadece bilgisayarin kasasi cok parmak izi topluyor sarjida gidiyor birde hava sicak oldugu zaman cok siniyor cunku 40 dereceyfi bence boyle olmadida normal bilgisayar freedos oldugu icin biraz sikinti yasadik onuda musteri hizmetleri halleti onun disinda bilgisayar super tavsiye ederim,5
kadar guzel bilgisayara boyle batarya olmamis paketleme guzeldi insan yeni aldigi urunde jelatin sokmek istiyor jelatin yoktu aradigimda kuran arkadaslar unutmus gerekeni yapalim dediler yinede tesekkurler,5
fan sesi biraz fazla bataryasi cok hidiyor eksileri bunlar genel olarak cok iyi,5
fi̇yat performans urunu ranch si̇mulator oynadim cok fazla isiniyor fanlar costukca cosuyor,5
cok guzel bir urun biraz fan sesi var onemli degil,5
iyisi olmasa fiyat performans olarak iyisi sanirim.baya arastirdim.bu islemci ekran karti olan diger markalar cok yuksek fiyata i̇lk izlenimlerim iyi.bir tek ses kalitesini begenmedim.driver yukledim bir suru ayar denedim iyi degil.sirkette dell notebook kullaniyorum kalite netlik hemde ses seviyesi 3 kati iyi,5
yasamadan bilemezsin canavar efsane tek eksiyi sogutucu kadar isinan bi cihaz icin yaninda sogutucunun maliyeti cok olmamali tek sikintisi bence sarj aletide ayni sekilde cok isiniyor amperi yuksek olsaydi kadar isimazdi dusunuyorum geri kalan hersey on numara 🔥,5
i̇slemci cabuk isiniyor fan sesi haliyle sesli,5
batarya haric urun harika asiri parmak izi kaliyor,5
pc guzel 2 gunde geldi kargosu gercekten guzel hazirlanmis windows kurulumu 5 dk surdu driverlar la usb beraber 10 dk civari bilgisayar toplamda 30 sk kullanima hazirdi hos f/p urunu,5
ekran parlakligi biraz dusuk harici basarili fiyat performans 🙏,5
acilistan kapanisa hersey cok guzel fan biraz sesli cok cabuk isiniyor.batarya omru uzun degil 1 saat filan diger ozelliklerinden memnunum,5
cok fazla isiniyor cok fazla fan sesi var sizi rahatsiz ediyor kis icin odayi isitir kadar deyim anlayin is icin kullandigim lenovo iyi onu anladim hizi falan cok iyi,5
batarya biraz uzdu,5
urun gayet guzel oyunlarin hepsini kaldiriyor gta oyununda bile yuksek ayarlarda kasiyor kasa parmak izi cok kaliyor biraz fani sesli calisiyor birde pili cok dayanmiyor,5
i̇lk olarak bilgisayar freedos geliyor ici bos sekilde windows kurmaniz gerekiyor kurulum icin 2 hafta falan bilgisayarci gezdik bunu goz onunde bulundurarak alin.oyun icin guzel bilgisayar modelin parcalari dort dortluk denilebilir oyunu oynatir kalitesi olarak orta halli plastik kasa parmak izi topluyor sarji cok hizli bitiyor bilgisayar hemen isiniyor tamam gta 5 pubg guc isteyen bi oyun olsa isinsin minecraft oynuyorum arkadas ya ekran karti 80 85 derecelere cikiyor cok sacma bi sekilde genelde masaustu fiste takili bakiyoruz oyun oynarsan max 1 saat gidiyor oynamazsan 2 saat alayim gezdireyim ofise okula goturup bakarim diyenlere tavsiye etmem baska model bakiniz,5
urun guzel iki tane eksigi var bence 1 ekran arka plastiginde parmak iz lekesi kaliyor 2 sarji basit internet sorf word/excel bile cabuk bitiyor,5
kasasi biraz cabuk kirelenebiliyor onun disinda guzel bilgisayar tavsiye ederimz,5
cok guzel fiyata 4090 li pc geliyo ben aldiyima pisanim yuzden victus,5
herseyi iyi sadece sarji cabuk bitiyor mecbur sarjda tutacaz telefonu,5
i̇cinde isletim sistemi yok kurmak icin 40 kapiya gittik,5
urun guzel cok parmak izi birakiyor,5
cihaz performans olarak gayet iyi calistirmadigi oyun olmadi fakat fani asiri derecede gurultulu hoparlorden cikan sesi net duymak icin nerdeyse son seviye acmak gerekiyor ayrica fan cikislari cok sacma konumlandirilmis surekli mouse yi tuttugunuz elinize sicak bir hava geliyor gercekten rahatsiz edici bir durum,5
urunu 7 temmuzda 24 bin liraya aldim memnunum iyikide almisim fiyatlar ucuyor bence kacirmayin 1 ay sonra 40 bin olur fiyati,5
oyundaki performansi gayet iyi ancak alali 2 hafta oldu isinma problemi yasiyorum yuksek fpsli bir oyuna girince 20dk dayanmiyor adaptor bilgisayar okadar isiniyor oyundan cikmak zorunda kaliyorum oyuna girince cok ses cikariyor,5
bilgisayar genel olarak cok iyi hoparlorden kendiligine tik tik ses geliyor arada musteri hizmetleride bobin sarimi dedi alaka,5
urun bana sorunlu geldi fanlari yeteri kadar sogutmuyordu memnun kalmadim geri iade yaptim bilmiyorum bana kotu urun denk geldi sey konusunda iade konusunda hic zorluk cikarmadan geri iadem onaylandin gerek monster serviscilerine gerek hepsiburada gayet memnundum dizayn paketlemede gayet iyi monster,5
aldigim urun monster tarafindan bayi ye sattigi fatura geldi faturadaki fiyat benim aldigim fiyat arasinda 10.000 tl fark var boyle yuksek bir rakama aldigim icin pismanlik duyuyorum urunu aldiktan sonra 6.000 tl fiyatinin dustugunu gormek sasirtici boyle bir sekilde gunluk fiyatlarin dusup yukselmesi stabil olmamasi hepsiburada urune kadar fark koyup satilmasi tamamen para tuzagi performans olarak bilgisayar iyi duruyor fiyat acisindan hic kimseye onermiyorum gidip direk monster firmasindan alirsaniz paranizda cebinizde kalir,5
urunu ilk baktigim tarih 08.07.2023 tarihininde 24 bin di 13.08.2023 27 bin siparis verdim urun 15.08.2023 tarihinde elime ulastiginda 35 bin olmustu tarihler icinde fiyati astronomik bir bicimde artti suanki fiyati 30 bin ustunude gordu surec zarfinda olduda fiyatlar kadar degisiklik gosterdi anlamis degilim dolar kuru 25 den 26 oldu fiyat politikaniz kime tutturursam mantigi calisiyor yuzden vizyon eksigi var,5
super tesekkurler,5
guzel kargolama icin tesekkurler monster hizli kargo icin tesekkurler ✅ keske kadar fiyati yuksek olan urunleri alirken icerik olarak hediye olarak mouse mousepad urunleri olsaydi monster firmasina arz ederim 🎯,5
urun sorunsuz bir sekilde ulasti tesekkurler,5
i̇ndirimde aldim kadar dogru bir karar verdigimi su an iyi anliyorum i̇lk monster kullaniyorum ilk oyun bilgisayari kullaniyorum nedense farkli bir guven hissi veriyor bundan once kullandigim bilgisayarin markasi gayet guzel olmasina ragmen siradan binek aractan inip mercedes araca binmis gini bir his veriyor alin aldirin yerli mali kazansin ozelliklerde baksa markalarda 40 tan asagi cihaz yok demek lazim ki,5
kargolama saglamdi canta guzel bilgisayar guzel begenmedigim tek sey dis malzemesi plastik bir yapisi var kadar saglamdir bilmiyorum,5
urun saglam bir sekilde teslim edildi windows kurulumu icin youtube uzerinden kurulum videosu bulup kurabilirsiniz,5
kargo tarihinden once geldigi icin monster burada tesekkurler,5
urunu cok hizli teslim aldim ertesi gun kurulum saglandi sorun yok bir sonraki gun bilgisayar acilmadi klavye isiklari var ekran yok servise veridim inceleme sonrasi degisim onaylandi persembe den pazartesi ye hala bekliyorum yeni bilgisayari keske iade talep edip yenisini alsaydim hizli cozulurdu sorunum sorun nereden kaynakli bilmiyorum bilgisayari degerlendiremedi maalesef teknik aksakliklar giderilir elime yeni urun gelince insallah degerlendirmeye firsatim olur bendeki sansa diyeyim,5
tesekkur ederiz,5
super pc sikintisiz format at devam et,5
adinin hakkini veriyor canavar,5
arkadaslar sakin almayin ben aldim pismanim ozetleyecek olursak freedos olarak aldim ilk acilista bip bip sesleri oldu cok umursamadim sonra windows kurdum tekrar bip sesleri geldi sonrasinda kapandi bugun 3 gun kotulesti laptop aciliyor ardindan 1 2 dakika sonra kendiliginden kapaniyor alacak arkadaslara tavsiyem almayi̇n ben aldim ugrasiyorum ugrasmayin,5
urun sarj problemi olarak geldi hepsiburada uzerinden sorunumu ilettim bana servisi aramam soylendi aradim 25 dk telefonda bekletip bekletip suratima kapattile telefonu ayrica geri donus yapilmadi 27.000liralik bir copum oldu gerekli tum merciilere sikayet edecegim,5
hic menun degilim keske baska marka alsaydim kadar parayi boyle laptopa vermek bos kasa falan cok iz oluyor 3050 ti yerine 3060 baska bir laptop alsaydim keske oyuncak duruyor malzeme kalitsei iyi gelmedi ozellik olarakta yanlis tercih yaptim,5
cihazi aldiktan 2 ay sonra kendiliginden olu piksel cikti garantisi olmasina ragmen servis ucret talep ediyor,5
alinmaz mavi ekran sorunu dersin isinma sorunu dersin ararsan var,5
kronik pc almayin,5
i̇ade ettim ssd gormuyor windows yukleyemedim,5
f/p urunu cok gurultulu fan calistiriyor,4
urun cok guzel kullanimi agirligi sikligi alinabilir bir urun lakin urun 1 haftada nasil 30 bin seviyesine dogru yuruyor onu anlamis degilim,3
sarji cok kisa sure gidiyor hoparloru pek iyi degil onhn haricinde begendim,3
sistemde siparis teslim gozukuyor fakat ortada 25 bin tl lik laptop yok.musteri hizmetleri kapiya birakilmis diyor.ya kime aordunuz kapiya birakalim mi diye bir notum yok kapiya birakin diye.boyle amator dagitim olur mu senedir isleri yapiyorsunuz pes vallahi.bu laptop 150 binlikte olabilirdi kapiya birakma nedir ya.bunu 12 ay odeyecegiz daha.i̇lk buradan kullandim buda sondu aman herkes dikkat etsin.ben monster ida anlamiyorum malini sitelerden satarak nasil markayi riske eder,1
